cl_num, clr_num, t_num, gr_num, pop_size, mut, dbr, num_gen, mut_type
165, 9, 62, 44, 10, 3, 5, 38,I
165, 9, 62, 44, 10, 3, 5, 51,I
165, 9, 62, 44, 10, 3, 5, 51,I
165, 9, 62, 44, 10, 3, 5, 55,I
165, 9, 62, 44, 10, 3, 5, 43,I
165, 9, 62, 44, 10, 3, 5, 102,I
165, 9, 62, 44, 10, 3, 5, 56,I
165, 9, 62, 44, 10, 3, 5, 45,I
165, 9, 62, 44, 10, 3, 5, 61,I
165, 9, 62, 44, 10, 3, 5, 66,I
190, 13, 63, 44, 10, 3, 5, 52,I
190, 13, 63, 44, 10, 3, 5, 83,I
190, 13, 63, 44, 10, 3, 5, 86,I
190, 13, 63, 44, 10, 3, 5, 71,I
190, 13, 63, 44, 10, 3, 5, 68,I
190, 13, 63, 44, 10, 3, 5, 88,I
190, 13, 63, 44, 10, 3, 5, 62,I
190, 13, 63, 44, 10, 3, 5, 75,I
190, 13, 63, 44, 10, 3, 5, 99,I
190, 13, 63, 44, 10, 3, 5, 94,I
165, 9, 62, 44, 10, 2, 5, 68,I
165, 9, 62, 44, 10, 2, 5, 78,I
165, 9, 62, 44, 10, 2, 5, 54,I
165, 9, 62, 44, 10, 2, 5, 83,I
165, 9, 62, 44, 10, 2, 5, 62,I
165, 9, 62, 44, 10, 2, 5, 100,I
165, 9, 62, 44, 10, 2, 5, 64,I
165, 9, 62, 44, 10, 2, 5, 52,I
165, 9, 62, 44, 10, 2, 5, 145,I
165, 9, 62, 44, 10, 2, 5, 69,I
190, 13, 63, 44, 10, 2, 5, 95,I
190, 13, 63, 44, 10, 2, 5, 247,I
190, 13, 63, 44, 10, 2, 5, 234,I
190, 13, 63, 44, 10, 2, 5, 102,I
190, 13, 63, 44, 10, 2, 5, 125,I
190, 13, 63, 44, 10, 2, 5, 132,I
190, 13, 63, 44, 10, 2, 5, 106,I
190, 13, 63, 44, 10, 2, 5, 75,I
190, 13, 63, 44, 10, 2, 5, 108,I
190, 13, 63, 44, 10, 2, 5, 118,I
165, 9, 62, 44, 30, 3, 10, 68,I
165, 9, 62, 44, 30, 3, 10, 77,I
165, 9, 62, 44, 30, 3, 10, 90,I
165, 9, 62, 44, 30, 3, 10, 55,I
165, 9, 62, 44, 30, 3, 10, 52,I
165, 9, 62, 44, 30, 3, 10, 98,I
165, 9, 62, 44, 30, 3, 10, 85,I
165, 9, 62, 44, 30, 3, 10, 94,I
165, 9, 62, 44, 30, 3, 10, 93,I
165, 9, 62, 44, 30, 3, 10, 98,I
190, 13, 63, 44, 30, 3, 10, 341,I
190, 13, 63, 44, 30, 3, 10, 321,I
190, 13, 63, 44, 30, 3, 10, 136,I
190, 13, 63, 44, 30, 3, 10, 114,I
190, 13, 63, 44, 30, 3, 10, 135,I
190, 13, 63, 44, 30, 3, 10, 450,I
190, 13, 63, 44, 30, 3, 10, 110,I
190, 13, 63, 44, 30, 3, 10, 104,I
190, 13, 63, 44, 30, 3, 10, 119,I
190, 13, 63, 44, 30, 3, 10, 123,I
165, 9, 62, 44, 30, 5, 10, 58,I
165, 9, 62, 44, 30, 5, 10, 54,I
165, 9, 62, 44, 30, 5, 10, 53,I
165, 9, 62, 44, 30, 5, 10, 67,I
165, 9, 62, 44, 30, 5, 10, 69,I
165, 9, 62, 44, 30, 5, 10, 54,I
165, 9, 62, 44, 30, 5, 10, 55,I
165, 9, 62, 44, 30, 5, 10, 56,I
165, 9, 62, 44, 30, 5, 10, 64,I
165, 9, 62, 44, 30, 5, 10, 46,I
190, 13, 63, 44, 30, 5, 10, 114,I
190, 13, 63, 44, 30, 5, 10, 121,I
190, 13, 63, 44, 30, 5, 10, 94,I
190, 13, 63, 44, 30, 5, 10, 99,I
190, 13, 63, 44, 30, 5, 10, 81,I
190, 13, 63, 44, 30, 5, 10, 109,I
190, 13, 63, 44, 30, 5, 10, 76,I
190, 13, 63, 44, 30, 5, 10, 104,I
190, 13, 63, 44, 30, 5, 10, 77,I
190, 13, 63, 44, 30, 5, 10, 106,I
165, 9, 62, 44, 30, 3, 15, 41,I
165, 9, 62, 44, 30, 3, 15, 72,I
165, 9, 62, 44, 30, 3, 15, 91,I
165, 9, 62, 44, 30, 3, 15, 51,I
165, 9, 62, 44, 30, 3, 15, 987,I
165, 9, 62, 44, 30, 3, 15, 204,I
165, 9, 62, 44, 30, 3, 15, 65,I
165, 9, 62, 44, 30, 3, 15, 49,I
165, 9, 62, 44, 30, 3, 15, 49,I
165, 9, 62, 44, 30, 3, 15, 85,I
190, 13, 63, 44, 30, 3, 15, 75,I
190, 13, 63, 44, 30, 3, 15, 146,I
190, 13, 63, 44, 30, 3, 15, 432,I
190, 13, 63, 44, 30, 3, 15, 391,I
190, 13, 63, 44, 30, 3, 15, 98,I
190, 13, 63, 44, 30, 3, 15, 111,I
190, 13, 63, 44, 30, 3, 15, 129,I
190, 13, 63, 44, 30, 3, 15, 183,I
190, 13, 63, 44, 30, 3, 15, 186,I
190, 13, 63, 44, 30, 3, 15, 82,I
165, 9, 62, 44, 30, 5, 15, 36,I
165, 9, 62, 44, 30, 5, 15, 36,I
165, 9, 62, 44, 30, 5, 15, 33,I
165, 9, 62, 44, 30, 5, 15, 59,I
165, 9, 62, 44, 30, 5, 15, 71,I
165, 9, 62, 44, 30, 5, 15, 58,I
165, 9, 62, 44, 30, 5, 15, 80,I
165, 9, 62, 44, 30, 5, 15, 44,I
165, 9, 62, 44, 30, 5, 15, 55,I
165, 9, 62, 44, 30, 5, 15, 148,I
190, 13, 63, 44, 30, 5, 15, 72,I
190, 13, 63, 44, 30, 5, 15, 78,I
190, 13, 63, 44, 30, 5, 15, 60,I
190, 13, 63, 44, 30, 5, 15, 61,I
190, 13, 63, 44, 30, 5, 15, 88,I
190, 13, 63, 44, 30, 5, 15, 229,I
190, 13, 63, 44, 30, 5, 15, 106,I
190, 13, 63, 44, 30, 5, 15, 55,I
190, 13, 63, 44, 30, 5, 15, 62,I
190, 13, 63, 44, 30, 5, 15, 76,I
165, 9, 62, 44, 10, 3, 5, 4501,R
165, 9, 62, 44, 10, 3, 5, 1622,R
165, 9, 62, 44, 10, 3, 5, 656,R
165, 9, 62, 44, 10, 3, 5, 2013,R
165, 9, 62, 44, 10, 3, 5, 2518,R
165, 9, 62, 44, 10, 3, 5, 2035,R
165, 9, 62, 44, 10, 3, 5, 1455,R
165, 9, 62, 44, 10, 3, 5, 3783,R
165, 9, 62, 44, 10, 3, 5, 1325,R
165, 9, 62, 44, 10, 3, 5, 2388,R
190, 13, 63, 44, 10, 3, 5, 3789,R
190, 13, 63, 44, 10, 3, 5, 10000,R
190, 13, 63, 44, 10, 3, 5, 2488,R
190, 13, 63, 44, 10, 3, 5, 10000,R
190, 13, 63, 44, 10, 3, 5, 8824,R
190, 13, 63, 44, 10, 3, 5, 10000,R
190, 13, 63, 44, 10, 3, 5, 5211,R
190, 13, 63, 44, 10, 3, 5, 10000,R
190, 13, 63, 44, 10, 3, 5, 10000,R
190, 13, 63, 44, 10, 3, 5, 2711,R
165, 9, 62, 44, 10, 2, 5, 4501,R
165, 9, 62, 44, 10, 2, 5, 3119,R
165, 9, 62, 44, 10, 2, 5, 3610,R
165, 9, 62, 44, 10, 2, 5, 3756,R
165, 9, 62, 44, 10, 2, 5, 2671,R
165, 9, 62, 44, 10, 2, 5, 1349,R
165, 9, 62, 44, 10, 2, 5, 1825,R
165, 9, 62, 44, 10, 2, 5, 10000,R
165, 9, 62, 44, 10, 2, 5, 2272,R
190, 13, 63, 44, 10, 2, 5, 6749,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 10000,R
190, 13, 63, 44, 10, 2, 5, 6370,R
190, 13, 63, 44, 10, 2, 5, 10000,R
165, 9, 62, 44, 30, 3, 10, 7683,R
165, 9, 62, 44, 30, 3, 10, 2474,R
165, 9, 62, 44, 30, 3, 10, 1321,R
165, 9, 62, 44, 30, 3, 10, 8394,R
165, 9, 62, 44, 30, 3, 10, 1756,R
165, 9, 62, 44, 30, 3, 10, 3139,R
165, 9, 62, 44, 30, 3, 10, 3944,R
165, 9, 62, 44, 30, 3, 10, 1834,R
165, 9, 62, 44, 30, 3, 10, 516,R
165, 9, 62, 44, 30, 3, 10, 4948,R
190, 13, 63, 44, 30, 3, 10, 7628,R
190, 13, 63, 44, 30, 3, 10, 2699,R
190, 13, 63, 44, 30, 3, 10, 10000,R
190, 13, 63, 44, 30, 3, 10, 9639,R
190, 13, 63, 44, 30, 3, 10, 5958,R
190, 13, 63, 44, 30, 3, 10, 6609,R
190, 13, 63, 44, 30, 3, 10, 9086,R
190, 13, 63, 44, 30, 3, 10, 10000,R
190, 13, 63, 44, 30, 3, 10, 10000,R
190, 13, 63, 44, 30, 3, 10, 10000,R
165, 9, 62, 44, 30, 5, 10, 925,R
165, 9, 62, 44, 30, 5, 10, 835,R
165, 9, 62, 44, 30, 5, 10, 3715,R
165, 9, 62, 44, 30, 5, 10, 510,R
165, 9, 62, 44, 30, 5, 10, 783,R
165, 9, 62, 44, 30, 5, 10, 984,R
165, 9, 62, 44, 30, 5, 10, 1287,R
165, 9, 62, 44, 30, 5, 10, 3805,R
165, 9, 62, 44, 30, 5, 10, 653,R
165, 9, 62, 44, 30, 5, 10, 819,R
190, 13, 63, 44, 30, 5, 10, 7818,R
190, 13, 63, 44, 30, 5, 10, 4318,R
190, 13, 63, 44, 30, 5, 10, 5426,R
190, 13, 63, 44, 30, 5, 10, 8157,R
190, 13, 63, 44, 30, 5, 10, 3800,R
190, 13, 63, 44, 30, 5, 10, 1665,R
190, 13, 63, 44, 30, 5, 10, 5794,R
190, 13, 63, 44, 30, 5, 10, 5166,R
190, 13, 63, 44, 30, 5, 10, 10000,R
190, 13, 63, 44, 30, 5, 10, 2931,R
165, 9, 62, 44, 30, 3, 15, 1353,R
165, 9, 62, 44, 30, 3, 15, 1418,R
165, 9, 62, 44, 30, 3, 15, 2737,R
165, 9, 62, 44, 30, 3, 15, 206,R
165, 9, 62, 44, 30, 3, 15, 2715,R
165, 9, 62, 44, 30, 3, 15, 3577,R
165, 9, 62, 44, 30, 3, 15, 780,R
165, 9, 62, 44, 30, 3, 15, 1558,R
165, 9, 62, 44, 30, 3, 15, 1114,R
165, 9, 62, 44, 30, 3, 15, 722,R
190, 13, 63, 44, 30, 3, 15, 10000,R
190, 13, 63, 44, 30, 3, 15, 10000,R
190, 13, 63, 44, 30, 3, 15, 10000,R
190, 13, 63, 44, 30, 3, 15, 4572,R
190, 13, 63, 44, 30, 3, 15, 10000,R
190, 13, 63, 44, 30, 3, 15, 8692,R
190, 13, 63, 44, 30, 3, 15, 10000,R
190, 13, 63, 44, 30, 3, 15, 8931,R
190, 13, 63, 44, 30, 3, 15, 9691,R
190, 13, 63, 44, 30, 3, 15, 3094,R